Client Name,Measurement No.,Reporting Year End Date,# Sites,# Employees,Total Goods and Services Spend,Sector / Industry,Type of Footprint,Scope 1 total KGCO2e,Scope 2 total KGCO2e,Scope 3 total KGCO2e,Stationary Combustion,Mobile Combustion,Fugitive Emissions,Process Emissions,Purchased Electricity,"Purchased Steam, Heat & Cooling",Purchased Goods & Services,Capital Goods,Fuel & Energy Related Activities,Transportation & Distribution,Operational Waste,Business Travel,Employee Commuting & Home Working,Leased Assets,Transportation & Distribution DOWNSTREAM,Processing of Sold Products,Use of Sold Products,End-Of-Life Treatment of Sold Products,Leased Assets .,Franchises,Investments,Total Electricity Consumption (KgCO2e),Renewable Energy (%),Renewable Energy (KgCO2e),EV Employee Commute (KgCO2e),WFH,All other Commute ,Total Footprint (tCO2e),Employee C intensity (tCO2e)
Pickerings,1,30/06/22,13,254,0.00,Commerce / Retail,PPN,191280.00,64006.00,564270.00,168209.00,23071.00,0.00,0.00,64006.00,0.00,0.00,0.00,2360.00,0.00,22045.00,448523.00,91342.00,-,0.00,-,-,-,-,-,-,106677.00,40.00,42671.00,0.00,46737.00,44605.00,819.56,3.23
Walker Sime,1,31/12/21,-,-,1338073.00,Financial services; professional services,Full,23211.00,2641.00,459925.00,23211.00,0.00,0.00,0.00,2641.00,0.00,327503.00,0.00,0.00,0.00,647.00,49676.00,82099.00,,0.00,,,,,,,10564.00,75.00,7923.00,0.00,40309.00,82099.00,485.78,#VALUE!
Warrington Mortgage Centre,1,31/03/22,2,40,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Wiltshire Friendly Society,1,31/12/21,1,13,195007.00,Financial services; professional services,Full,83.00,4066.00,63878.00,83.00,0.00,0.00,0.00,4066.00,0.00,45431.00,8092.00,150.00,45.00,1017.00,113.00,9030.00,-,0.00,-,-,-,-,-,-,6776.00,39.99,2710.00,0.00,3554.00,5476.00,68.03,5.23
Wizcot Limited,1,31/12/21,-,1,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Yell,,,-,-,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Boddingtons Berries,1,31/12/19,-,-,35783.00,Food; drink; tobacco,Full,14641.00,0.00,66931.00,4829.00,9812.00,0.00,0.00,0.00,0.00,15121.00,30326.00,0.00,11196.00,2784.00,5600.00,1904.00,,0.00,,,,,,,16145.00,100.00,16145.00,0.00,0.00,1904.00,81.57,#VALUE!
Boddingtons Berries,2,31/12/20,-,-,25833.00,Food; drink; tobacco,Full,12242.00,0.00,89538.00,4829.00,7413.00,0.00,0.00,0.00,0.00,11599.00,62041.00,0.00,12690.00,756.00,0.00,2452.00,,0.00,,,,,,,21081.00,100.00,21081.00,0.00,19.00,2433.00,101.78,#VALUE!
Cardiff Distillery,1,31/05/22,1,8,111866.00,Food; drink; tobacco,Full,0.00,1174.00,118033.00,0.00,0.00,0.00,0.00,1174.00,0.00,85247.00,8697.00,297.00,849.00,1265.00,12115.00,9563.00,-,0.00,-,-,-,-,-,-,2348.00,50.00,1174.00,0.00,920.00,8643.00,119.21,14.90
Clearly Drinks,1,31/12/21,1,92,11632556.00,Food; drink; tobacco,Full,659630.00,0.00,49013277.00,181639.00,15219.00,0.00,462772.00,0.00,0.00,7397258.00,0.00,51910.00,138814.00,2313.00,5168.00,126431.00,0.00,41291383.00,0.00,0.00,0.00,0.00,0.00,0.00,611440.00,100.00,611440.00,0.00,0.00,126431.00,49672.91,539.92
Hampsons of Hayle,1,31/12/21,2,5,16612.00,Food; drink; tobacco,Full,8322.00,18389.00,15626.00,7033.00,1289.00,0.00,0.00,18389.00,0.00,7416.00,0.00,1561.00,151.00,1225.00,0.00,5273.00,,0.00,,,,,,,18389.00,50.00,9194.00,0.00,0.00,5273.00,42.34,8.47
Horsham Coffee,1,31/12/21,-,-,150199.00,Food; drink; tobacco,Full,10734.00,0.00,128006.00,10734.00,0.00,0.00,0.00,0.00,0.00,37791.00,6440.00,284.00,72815.00,41.00,17.00,10618.00,,0.00,,,,,,,2747.00,100.00,2747.00,0.00,477.00,10142.00,138.74,#VALUE!
House of Botanical,1,31/12/21,1,2,,Food; drink; tobacco,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
MedSkin,1,31/12/21,3,145,0.00,Health services,PPN,2525323.00,407449.00,44098.00,2525323.00,0.00,0.00,0.00,407449.00,0.00,0.00,0.00,44098.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,814899.00,50.00,407449.00,0.00,0.00,0.00,2976.87,20.53
KatKin,1,,-,-,,Food; drink; tobacco,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Ark H,1,31/12/21,2,130,0.00,Transport (including civil aviation; railways; road transport),PPN,13076.00,61055.00,188900.00,12226.00,850.00,0.00,0.00,61055.00,0.00,0.00,0.00,8639.00,0.00,112722.00,3998.00,63541.00,-,0.00,-,-,-,-,-,-,-,#VALUE!,-,,,,263.03,2.02
Kerridges,1,20/09/21,20,"1,200",,Food; drink; tobacco,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Knowles Green,1,31/12/21,1,2,75866.00,Food; drink; tobacco,Full,0.00,2277.00,62187.00,0.00,0.00,0.00,0.00,2277.00,0.00,61319.00,0.00,212.00,0.00,20.00,0.00,636.00,,,,,,,,,2277.00,0.00,0.00,0.00,179.00,458.00,64.46,32.23
Lifebox,,,-,-,,Food; drink; tobacco,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Method Coffee Roasters,1,31/03/22,2,6,244426.00,Food; drink; tobacco,Full,9211.00,3287.00,175871.00,4649.00,4562.00,0.00,0.00,3287.00,0.00,87393.00,63735.00,558.00,12533.00,716.00,6241.00,4695.00,-,0.00,-,-,-,-,-,-,6573.00,50.01,3287.00,0.00,0.00,4695.00,188.37,31.39
Skills for Care,1,31/03/22,1,120,0.00,Financial services; professional services,PPN,0.00,283.00,92407.00,0.00,0.00,0.00,0.00,283.00,0.00,0.00,0.00,7226.00,189.00,270.00,6338.00,78384.00,-,0.00,-,-,-,-,-,-,690.00,58.99,407.00,0.00,67697.00,10687.00,92.69,0.77
No Evil,1,31/12/21,-,-,37230.00,Food; drink; tobacco,Full,0.00,0.00,49986.00,0.00,0.00,0.00,0.00,0.00,0.00,20450.00,2228.00,0.00,1633.00,0.00,10.00,383.00,,25282.00,,,,,,,0.00,#DIV/0!,0.00,0.00,383.00,0.00,49.99,#VALUE!
Odds Timber,1,31/12/21,-,-,65824.00,Forestry; wood; pulp and paper,Full,26797.00,34330.00,115137.00,5269.00,21528.00,0.00,0.00,34330.00,0.00,14480.00,0.00,0.00,93149.00,429.00,1338.00,5741.00,,0.00,,,,,,,50411.00,31.90,16081.00,0.00,158.00,5741.00,176.26,#VALUE!
Packaging Products,1,31/12/20,-,-,1039100.00,Forestry; wood; pulp and paper,Full,305066.00,80928.00,5344502.00,305066.00,0.00,0.00,0.00,80928.00,0.00,971610.00,109510.00,0.00,,4263382.00,0.00,0.00,,0.00,,,,,,,108675.00,25.53,27747.00,,,,5730.50,#VALUE!
Wren Press,1,31/12/21,2,9,,Forestry; wood; pulp and paper,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
APR Medical,1,31/12/21,-,-,30302.00,Health services,Full,0.00,0.00,1255690.00,0.00,0.00,0.00,0.00,0.00,0.00,8934.00,0.00,0.00,1243508.00,0.00,300.00,2198.00,,750.00,,,,,,,,,,,,,1255.69,#VALUE!
Bridge Dental Care,1,31/12/21,1,49,,Health services,Full,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
My Improvement Network,1,31/12/21,1,14,18001.00,Health services,Full,10985.00,0.00,34024.00,0.00,10985.00,0.00,0.00,0.00,0.00,6037.00,0.00,0.00,813.00,145.00,0.00,9956.00,-,17073.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,2432.00,0.00,45.01,3.21
Persona Care & Support,1,31/03/21,14,450,,Health services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Retina Group,1,31/12/19,-,-,171117.00,Health services,Full,30123.00,109811.00,101218.00,30123.00,0.00,0.00,0.00,109811.00,0.00,55599.00,18911.00,0.00,2272.00,240.00,2283.00,21913.00,,0.00,,,,,,,109811.00,0.00,0.00,0.00,,21913.00,241.15,#VALUE!
Retina Group,2,31/12/21,2,28,,Health services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Event Concept,1,31/12/21,1,50,2196345.00,Hotels; tourism; catering,Full,11219.00,0.00,1863340.00,,11219.00,,,,,573798.00,1137709.00,3310.00,10453.00,16299.00,14202.00,54690.00,,52879.00,,,,,,,38992.00,100.00,38992.00,,14751.00,39939.00,1874.56,37.49
Event Trader,1,31/08/22,1,2,15150.00,Hotels; tourism; catering,Full,458.00,0.00,3478.00,458.00,0.00,0.00,0.00,0.00,0.00,3085.00,0.00,2.00,0.00,54.00,203.00,134.00,-,0.00,-,-,-,-,-,-,93.00,100.00,93.00,0.00,134.00,0.00,3.94,1.97
Outlook Expeditions,1,31/10/19,3,32,181224.00,Hotels; tourism; catering,Full,0.00,3259.00,6184805.00,0.00,0.00,0.00,0.00,3259.00,0.00,50418.00,9795.00,1325.00,0.00,1807.00,87831.00,26226.00,0.00,0.00,0.00,6007403.00,0.00,0.00,0.00,0.00,3377.00,3.49,118.00,0.00,9804.00,26226.00,6188.06,193.38
River Dart Country Park,,,-,-,,Hotels; tourism; catering,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Service Course,,,-,-,100.00,Hotels; tourism; catering,,0.00,0.00,554.00,,,,,,,,,,,,554.00,,,,,,,,,,0.00,#DIV/0!,0.00,0.00,0.00,0.00,0.55,#VALUE!
ADP Diamond Cutting,1,31/12/21,1,25,60859.00,Mechanical and electrical engineering,Full,14057.00,6036.00,286839.00,3807.00,10250.00,0.00,0.00,6036.00,0.00,12572.00,13250.00,778.00,165039.00,265.00,0.00,58719.00,-,36216.00,-,-,-,-,-,-,,,,,,,306.93,12.28
RB Switch,1,31/12/21,-,-,2251463.00,Mechanical and electrical engineering,Full,249648.00,21296.00,2236984.00,36487.00,5681.00,207480.00,0.00,21296.00,0.00,1310470.00,86283.00,1808.00,0.00,3299.00,278550.00,131291.00,-,425283.00,-,-,-,-,-,-,21296.00,75.03,15978.00,0.00,0.00,131291.00,2507.93,#VALUE!
Richard Alan Engineering,1,31/12/21,1,130,1181791.00,Mechanical and electrical engineering,Full,13873.00,0.00,598973.00,0.00,13873.00,0.00,0.00,0.00,0.00,386423.00,46825.00,75.00,0.00,0.00,35995.00,129655.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,706.00,128949.00,612.85,4.71
RM Utility,1,31/03/22,-,34,,Mechanical and electrical engineering,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Winder Power,1,31/12/21,1,76,1435799.00,Mechanical and electrical engineering,Full,480112.00,67028.00,685260.00,206630.00,188673.00,84809.00,0.00,67028.00,0.00,305002.00,108967.00,10904.00,92349.00,5567.00,0.00,160872.00,-,1599.00,-,-,-,-,-,-,111713.00,40.00,44685.00,0.00,13410.00,147462.00,1232.40,16.22
Read Construction,1,31/12/21,1,73,17396064.00,Construction,PPN,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,50387.00,40.00,20155.00,0.00,29368.00,67313.00,0.00,0.00
Art House,1,31/12/21,1,60,3340912.00,Media; culture; graphical,Full,27281.00,18813.00,7354177.00,22746.00,4535.00,0.00,0.00,18813.00,0.00,553497.00,64224.00,26116.00,1045358.00,1126.00,31861.00,380212.00,-,5251783.00,-,-,-,-,-,-,,,,,,,7400.27,123.34
AudioServ,1,31/12/21,-,-,55520.00,Media; culture; graphical,Full,3053.00,1074.00,116943.00,0.00,3053.00,0.00,0.00,1074.00,0.00,18320.00,67091.00,91.00,8471.00,135.00,6561.00,5917.00,,10357.00,,,,,,,9160.00,34.09,3123.00,,,,121.07,#VALUE!
BoxTail Soup,1,31/12/19,-,-,5667.00,Media; culture; graphical,Full,0.00,0.00,19030.00,0.00,0.00,0.00,0.00,0.00,0.00,3980.00,0.00,0.00,0.00,0.00,14580.00,470.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,56.00,410.00,19.03,#VALUE!
BoxTail Soup,2,31/12/20,-,-,2231.00,Media; culture; graphical,Full,0.00,0.00,3270.00,0.00,0.00,0.00,0.00,0.00,0.00,1610.00,0.00,0.00,0.00,0.00,1290.00,370.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,53.00,321.00,3.27,#VALUE!
Haymarket Media,1,31/12/21,-,-,1918285.00,Media; culture; graphical,Full,0.00,0.00,348446.00,0.00,0.00,0.00,0.00,0.00,0.00,348446.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,0.00,0.00,348.45,#VALUE!
Latcham,1,31/12/21,-,-,1333015.00,Media; culture; graphical,Full,78272.00,1060.00,650783.00,66090.00,12182.00,0.00,0.00,1060.00,0.00,317702.00,122077.00,17606.00,9041.00,62279.00,1532.00,111302.00,,9244.00,,,,,,,1060.00,0.00,0.00,32143.00,0.00,79159.00,730.12,#VALUE!
Observatory International,1,31/12/21,1,8,,Media; culture; graphical,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Meritec,1,31/05/22,1,56,0.00,Software / IT,PPN,3614.00,4338.00,9237.00,2943.00,671.00,0.00,0.00,4338.00,0.00,0.00,0.00,820.00,1944.00,722.00,229.00,5067.00,,455.00,,,,,,,7230.00,40.00,2892.00,0.00,0.00,5067.00,17.19,0.31
Social Trend,,,-,-,,Media; culture; graphical,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Russell Taylor Group,1,31/12/21,5,70,,Financial services; professional services,PPN,4978.00,18374.00,126189.00,1030.00,3948.00,0.00,0.00,18374.00,0.00,0.00,0.00,1330.00,0.00,726.00,41118.00,83015.00,-,0.00,-,-,-,-,-,-,39084.00,40.00,15634.00,5077.00,0.00,77938.00,149.54,2.14
Taskmaster,1,31/12/21,10,70,,Media; culture; graphical,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Smart Energy,1,31/12/21,2,60,0.00,Media; culture; graphical,PPN,1194.00,0.00,2543.00,1194.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1570.00,0.00,42.00,931.00,0.00,-,0.00,-,-,-,-,-,-,18492.00,100.00,18492.00,0.00,0.00,0.00,3.74,0.06
Texere Publishing,1,31/03/22,2,57,,Media; culture; graphical,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
The Workhaus,1,31/12/21,-,-,,Media; culture; graphical,Full,15664.00,3922.00,108001.00,9411.00,6249.00,0.00,4.00,3922.00,0.00,160.00,6299.00,0.00,0.00,296.00,85744.00,15502.00,,0.00,,,,,,,15689.00,75.00,11767.00,0.00,2232.00,13270.00,127.59,#VALUE!
Convergence Group,1,31/3/22,1,130,1346919.00,Postal and telecommunications services,Full,60480.00,33656.00,822968.00,0.00,60480.00,0.00,0.00,33656.00,0.00,293901.00,230198.00,1241.00,11275.00,1349.00,3370.00,274473.00,-,7161.00,-,-,-,-,-,-,,#DIV/0!,,0.00,39867.00,234605.00,917.10,7.05
eCourier,1,31/12/21,2,68,,Postal and telecommunications services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Agile Applications,1,31/12/21,3,52,0.00,Software / IT,PPN,2319.00,12276.00,48177.00,2319.00,0.00,0.00,0.00,12276.00,0.00,0.00,0.00,1953.00,0.00,540.00,3959.00,41725.00,-,0.00,-,-,-,-,-,-,-,#VALUE!,-,0.00,22277.00,0.00,62.77,1.21
Spelthorne Borough Council,,,-,-,,Public service,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
St Martins of Tours,1,31/03/22,7,55,,Public service,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Wiltshire Air Ambulance,1,31/08/22,2,26,,Public service,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
WorkL,1,31/03/22,1,40,0.00,Software / IT,PPN,0.00,1043.00,27943.00,0.00,0.00,0.00,0.00,1043.00,0.00,0.00,0.00,1677.00,0.00,72.00,1975.00,24219.00,-,0.00,-,-,-,-,-,-,1738.00,39.99,695.00,0.00,14442.00,9778.00,28.99,0.72
AirDat,1,31/12/21,-,-,176820.00,Software / IT,Full,0.00,0.00,60241.00,0.00,0.00,0.00,0.00,0.00,0.00,48835.00,1252.00,0.00,0.00,0.00,1160.00,8994.00,,0.00,,,,,,,32473.00,50.00,16237.00,1590.00,33834.00,34044.00,60.24,#VALUE!
Altia,1,31/12/21,3,65,988355.00,Software / IT,Full,12780.00,31865.00,327622.00,0.00,1505.00,11275.00,0.00,3701.00,28164.00,196970.00,17930.00,524.00,0.00,1473.00,7676.00,103049.00,-,0.00,,-,-,-,-,-,7668.00,#VALUE!,-,-,1896.00,7281.00,372.27,5.73
Armakuni,1,31/12/21,0,28, ,Software / IT,Full,0.00,0.00,166465.00,0.00,0.00,0.00,0.00,0.00,0.00,109706.00,32754.00,0.00,0.00,559.00,1169.00,22277.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19984.00,38.58,7709.00,,,,166.47,5.95
Bartec Municipal,1,31/08/22,1,36,,Software / IT,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,9942.00,100.00,9942.00,0.00,57874.00,0.00,0.00,0.00
BlackBox Hosting,1,31/12/21,1,7,932518.00,Software / IT,Full,0.00,0.00,302185.00,0.00,0.00,0.00,0.00,0.00,0.00,192034.00,104023.00,483.00,0.00,65.00,209.00,5371.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,4559.00,811.00,302.19,43.17
Class Networks CSSC,1,31/07/22,1,50,0.00,Software / IT,Full,23485.00,8634.00,106192.00,0.00,23485.00,0.00,0.00,8634.00,0.00,0.00,0.00,3934.00,0.00,274.00,0.00,97784.00,-,4200.00,-,-,-,-,-,-,17267.00,50.00,8634.00,2136.00,23308.00,72340.00,138.31,2.77
Cyber Duck,1,31/01/22,2,73,271410.00,Software / IT,Full,7436.00,2575.00,74840.00,6047.00,1389.00,0.00,0.00,2575.00,0.00,48481.00,0.00,388.00,0.00,102.00,1005.00,24864.00,-,0.00,-,-,-,-,-,-,4574.00,43.70,1999.00,0.00,14524.00,10340.00,84.85,1.16
Dataspire,1,31/12/21,-,-,1607593.00,Software / IT,Full,20792.00,0.00,81654.00,,12231.00,8561.00,0.00,0.00,0.00,42245.00,0.00,0.00,0.00,199.00,5057.00,34153.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,29205.00,34153.00,102.45,#VALUE!
ITC International,1,,-,-,,Software / IT,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
ITC UK,1,31/12/2019,3,160,,Software / IT,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
ITC UK,2,31/12/2021,3,160,7624812.00,Software / IT,Full,8040.00,0.00,724973.00,2989.00,5051.00,0.00,0.00,0.00,0.00,441974.00,46557.00,12216.00,56.00,784.00,49756.00,172371.00,-,1259.00,-,-,-,-,-,-,19732.00,100.00,19732.00,0.00,99556.00,72815.00,733.01,4.58
Catalyst EU,1,31/03/22,1,39,,Software / IT,PPN,7332.00,932.00,28790.00,7332.00,0.00,0.00,0.00,932.00,0.00,0.00,0.00,2130.00,0.00,405.00,3893.00,22362.00,-,0.00,-,-,-,-,-,-,1554.00,40.03,622.00,0.00,18873.00,,37.05,0.95
Lifebit Biotech,1,31/12/21,-,-,1603145.00,Software / IT,Full,0.00,0.00,355558.00,0.00,0.00,0.00,0.00,0.00,0.00,347397.00,0.00,0.00,0.00,159.00,4423.00,3579.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,0.00,3579.00,355.56,#VALUE!
