Client Name,Measurement No.,Reporting Year End Date,# Sites,# Employees,Total Goods and Services Spend,Sector / Industry,Type of Footprint,Scope 1 total KGCO2e,Scope 2 total KGCO2e,Scope 3 total KGCO2e,Stationary Combustion,Mobile Combustion,Fugitive Emissions,Process Emissions,Purchased Electricity,"Purchased Steam, Heat & Cooling",Purchased Goods & Services,Capital Goods,Fuel & Energy Related Activities,Transportation & Distribution,Operational Waste,Business Travel,Employee Commuting & Home Working,Leased Assets,Transportation & Distribution DOWNSTREAM,Processing of Sold Products,Use of Sold Products,End-Of-Life Treatment of Sold Products,Leased Assets .,Franchises,Investments,Total Electricity Consumption (KgCO2e),Renewable Energy (%),Renewable Energy (KgCO2e),EV Employee Commute (KgCO2e),WFH,All other Commute ,Total Footprint (tCO2e),Employee C intensity (tCO2e)
Ometria,1,31/12/21,-,-,2836732.00,Software / IT,Full,0.00,0.00,530819.00,0.00,0.00,0.00,0.00,0.00,0.00,408540.00,117711.00,0.00,0.00,23.00,3436.00,1109.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,70737.00,1109.00,530.82,#VALUE!
Phoebus Software,1,31/12/21,2,118,6307501.00,Software / IT,Full,237.00,376268.00,1370324.00,0.00,237.00,0.00,0.00,0.00,376268.00,1191303.00,0.00,4690.00,0.00,0.00,0.00,174331.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,44292.00,130039.00,1746.83,14.80
Techlabs London,1,31/12/21,-,-,30700.00,Software / IT,Full,0.00,0.00,40532.00,0.00,0.00,0.00,0.00,0.00,0.00,4762.00,17550.00,1104.00,0.00,78.00,3696.00,13342.00,,0.00,,,,,,,,#DIV/0!,,0.00,10430.00,2919.00,40.53,#VALUE!
USystems,1,31/10/20,-,-,,Software / IT,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
USystems,2,31/12/21,-,-,646528.00,Software / IT,Full,247881.00,88123.00,634900.00,213527.00,34336.00,0.00,18.00,88123.00,0.00,215255.00,7177.00,9449.00,88782.00,750.00,20236.00,76714.00,,216537.00,,,,,,,104042.00,15.30,15919.00,0.00,5843.00,70871.00,970.90,#VALUE!
UTDS Optimal Choice,,,-,-,,Software / IT,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Waterstons,1,31/12/21,4,245,,Software / IT,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Bollington Leisure,1,31/12/19,-,-,331104.00,Sport / Leisure,Full,59817.00,111923.00,116070.00,59817.00,0.00,0.00,0.00,111923.00,0.00,103018.00,0.00,0.00,0.00,11015.00,133.00,1904.00,,0.00,,,,,,,211902.00,47.18,99979.00,0.00,0.00,1904.00,287.81,#VALUE!
Bollington Leisure,2,31/12/20,-,-,,Sport / Leisure,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Climbing Academy,1,30/09/21,5,55,343572.00,Sport / Leisure,Full,0.00,60014.00,224440.00,0.00,0.00,0.00,0.00,32287.00,27727.00,72319.00,49673.00,7907.00,58414.00,1719.00,1613.00,32795.00,-,0.00,-,-,-,-,-,-,87695.00,63.18,55407.00,1947.00,4364.00,26484.00,284.45,5.17
Jordan Fitness,1,31/12/21,1,38,,Sport / Leisure,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Monkey Tennis Club,1,31/12/21,-,-,,Sport / Leisure,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Total Fitness,1,31/12/21,15,600,16330261.00,Sport / Leisure,Full,2917155.00,1344795.00,6995425.00,2775227.00,44358.00,97570.00,0.00,1344795.00,0.00,3219247.00,1903671.00,228342.00,0.00,117798.00,48993.00,1477374.00,-,0.00,-,-,-,-,-,-,2689590.00,50.00,1344795.00,0.00,0.00,1477374.00,11257.38,18.76
Smart Sourcing,2,31/07/22,1,27,,Financial services; professional services,PPN,0.00,3314.00,4936.00,0.00,0.00,0.00,0.00,3314.00,0.00,0.00,0.00,563.00,0.00,26.00,0.00,4347.00,-,0.00,-,-,-,-,-,-,6628.00,50.00,3314.00,0.00,0.00,4347.00,8.25,0.31
Concept Products,1,31/12/21,-,-,317112.00,Textiles; clothing; leather; footwear,Full,33265.00,10207.00,316702.00,0.00,33265.00,0.00,0.00,10207.00,0.00,105072.00,0.00,867.00,0.00,289.00,33692.00,21322.00,,155460.00,,,,,,,10207.00,75.00,7655.00,0.00,1116.00,20205.00,360.17,#VALUE!
James Design,1,31/12/20,-,-,57708.00,Textiles; clothing; leather; footwear,Full,111.00,559.00,43880.00,0.00,111.00,0.00,0.00,559.00,0.00,38510.00,2540.00,0.00,630.00,50.00,0.00,2150.00,,0.00,,,,,,,1810.00,69.12,1251.00,0.00,0.00,2150.00,44.55,#VALUE!
Snag Group Ltd,1,31/07/22,3,108,20107813.00,Textiles; clothing; leather; footwear,Full,43887.00,-996.00,35970859.00,43125.00,762.00,0.00,0.00,-996.00,0.00,6331833.00,42371.00,5203.00,129916.00,4342.00,14105.00,85538.00,-,29357551.00,-,-,-,-,-,-,10386.00,109.60,11383.00,0.00,40815.00,44723.00,36013.75,333.46
Centurion Traffic,1,31/12/21,11,150,0.00,Transport (including civil aviation; railways; road transport),Full,1800616.00,20484.00,37876.00,0.00,1800616.00,0.00,0.00,20484.00,0.00,0.00,0.00,3474.00,0.00,3191.00,12972.00,18239.00,-,0.00,-,-,-,-,-,-,40967.00,50.00,20484.00,329.00,0.00,17910.00,1858.98,12.39
SLB Roads,1,31/12/21,1,-,,Transport (including civil aviation; railways; road transport),Full,0.00,0.00,343.00,,,,,,,58.00,,24.00,,,261.00,,,,,,,,,,0.00,#DIV/0!,0.00,0.00,221.00,0.00,0.34,#VALUE!
YDL,,,-,-,,Transport (including civil aviation; railways; road transport),,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Sea Kit,1,31/03/22,1,20,0.00,Transport equipment manufacturing,PPN,3885.00,0.00,542074.00,3885.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1147.00,145554.00,705.00,45045.00,48283.00,-,301340.00,-,-,-,-,-,-,12177.00,100.00,12177.00,0.00,1073.00,47210.00,545.96,27.30
Sirona Medical,1,31/12/21,1,20,0.00,Financial services; professional services,PPN,53403.00,2760.00,59660.00,0.00,785.00,52618.00,0.00,2760.00,0.00,0.00,0.00,517.00,0.00,168.00,37119.00,21856.00,-,0.00,-,-,-,-,-,-,4601.00,39.99,1840.00,0.00,1192.00,20664.00,115.82,5.79
CY Resourcing,1,31/12/21,1,15,0.00,Financial services; professional services,PPN,0.00,3326.00,18152.00,0.00,0.00,0.00,0.00,3326.00,0.00,0.00,0.00,123.00,0.00,127.00,0.00,17902.00,-,0.00,-,-,-,-,-,-,5544.00,39.99,2217.00,0.00,0.00,17902.00,21.48,1.43
Adept Graphics,1,31/12/21,-,-,14210.00,Transport equipment manufacturing,Full,0.00,5435.00,102960.00,0.00,0.00,0.00,0.00,5435.00,0.00,23376.00,16245.00,-,30634.00,80.00,24530.00,3256.00,,4839.00,,,,,,,,,,,,,108.40,#VALUE!
PJ Rhodes,1,31/03/21,4,80,431866.00,Transport equipment manufacturing,Full,127541.00,7021.00,336329.00,73763.00,53778.00,0.00,0.00,7021.00,0.00,81328.00,175297.00,993.00,15968.00,31994.00,0.00,30749.00,-,0.00,-,-,-,-,-,-,11701.00,40.00,4680.00,0.00,0.00,30749.00,470.89,5.89
ActionAid,1,31/12/20,-,-,8291112.00,UNKNOWN,Full,556.00,55959.00,2675106.00,556.00,0.00,0.00,0.00,55959.00,0.00,2191135.00,116377.00,4751.00,18451.00,390.00,104281.00,68934.00,,170787.00,,,,,,,10225.00,32.00,3272.00,,,,2731.62,#VALUE!
Battersea Dogs & Cats Home,1,31/12/21,3,528,0.00,UNKNOWN,Scope 1 + 2 + water,485405.00,122146.00,67714.00,392913.00,38232.00,54260.00,0.00,122146.00,0.00,0.00,0.00,52138.00,0.00,15576.00,0.00,0.00,-,0.00,-,-,-,-,-,-,31355.00,40.00,12542.00,-,221518.00,28840.00,675.27,1.28
Colour Company,1,31/12/21,7,26,,UNKNOWN,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Inscape Interiors,1,31/12/2019,-,-,,UNKNOWN,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Mime Reusables,,,-,-,,UNKNOWN,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Peach,1,31/12/21,20,250,,UNKNOWN,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
QOB Interiors,1,31/12/21,1,32,,UNKNOWN,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Rooftop Housing,,,-,-,,UNKNOWN,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Scroll,1,31/12/21,0,6,53076.00,UNKNOWN,Full,0.00,0.00,16901.00,0.00,0.00,0.00,0.00,0.00,0.00,13350.00,0.00,340.00,0.00,0.00,0.00,3211.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,3211.00,0.00,16.90,2.82
Time to Change,1,31/12/21,-,-,45439.00,UNKNOWN,Full,12190.00,21273.00,28925.00,12190.00,0.00,0.00,0.00,20339.00,934.00,13287.00,4334.00,0.00,0.00,197.00,3618.00,7489.00,,0.00,,,,,,,23123.00,8.00,1850.00,0.00,0.00,7489.00,62.39,#VALUE!
VEO,1,31/12/19,-,-,70320.00,UNKNOWN,Full,0.00,0.00,24087.00,0.00,0.00,0.00,0.00,0.00,0.00,20665.00,0.00,0.00,0.00,0.00,0.00,3422.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,785.00,2637.00,24.09,#VALUE!
VEO,2,31/12/20,-,-,67970.00,UNKNOWN,Full,0.00,0.00,24104.00,0.00,0.00,0.00,0.00,0.00,0.00,20682.00,0.00,0.00,0.00,0.00,0.00,3422.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,785.00,2637.00,24.10,#VALUE!
VEO,3,31/12/21,-,-,260500.00,UNKNOWN,Full,0.00,0.00,89596.00,0.00,0.00,0.00,0.00,0.00,0.00,78086.00,0.00,0.00,0.00,0.00,0.00,11510.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,1563.00,9947.00,89.60,#VALUE!
Gas Care,1,31/03/22,1,26,374447.00,Utilities (water; gas; electricity),Full,37767.00,553.00,121762.00,0.00,37767.00,0.00,0.00,553.00,0.00,0.00,866.00,117230.00,0.00,140.00,931.00,47.00,0.00,0.00,0.00,1910.00,638.00,0.00,0.00,0.00,553.00,80.47,445.00,0.00,866.00,1043.00,160.08,6.16
RS Response,1,31/12/21,1,110,8441759.00,Utilities (water; gas; electricity),Full,227184.00,21505.00,11807846.00,0.00,227184.00,0.00,0.00,21505.00,0.00,10607570.00,82293.00,50826.00,369766.00,1143.00,223332.00,472916.00,-,0.00,-,-,-,-,-,-,43011.00,50.00,21505.00,0.00,445552.00,27363.00,12056.54,109.60
Smartest Energy,,,-,-,,Utilities (water; gas; electricity),,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Aberdeen FC,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
ActionAid,2,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Advertising Standards Authority,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Advice Cloud,2,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Alitex,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Avignon Capital,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Bally's Corporation,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Bartec Municipal,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Ruffer Edinburgh,1,31/12/21,1,4,,Financial services; professional services,PPN,0.00,0.00,3265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,366.00,0.00,29.00,0.00,2870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.00,100.00,837.00,0.00,2789.00,2870.00,3.27,0.82
BlueSky Renewal,2,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Quantium,1,30/06/21,0,3,2621312.00,Financial services; professional services,PPN,0.00,0.00,916.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,34.00,0.00,2.00,0.00,880.00,-,0.00,-,-,-,-,-,-,,#DIV/0!,,,,,0.92,0.31
Bollington,2,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Bowman Riley,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Brewdog,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Bridge Dental Care,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Brokoli,1,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
CERN,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Chester Zoo,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Ruffer Hong Kong,1,31/12/21,1,1,,Financial services; professional services,PPN,0.00,3596.00,1047.00,0.00,0.00,0.00,0.00,3596.00,0.00,0.00,0.00,376.00,0.00,0.00,0.00,671.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3596.00,0.00,0.00,0.00,671.00,0.00,4.64,4.64
Zero 100,,,-,-,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
